country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),generation,new_age,sex_numeric,gdp_billion,Category
Albania,1987,male,15-24 years,21,312900,6.71,2156624900.0,796,Generation X,1,1,2.1566249,Rest of the World
Albania,1987,male,35-54 years,16,308000,5.19,2156624900.0,796,Silent,3,1,2.1566249,Rest of the World
Albania,1987,female,15-24 years,14,289700,4.83,2156624900.0,796,Generation X,1,0,2.1566249,Rest of the World
Albania,1987,male,75+ years,1,21800,4.59,2156624900.0,796,G.I. Generation,5,1,2.1566249,Rest of the World
Albania,1987,male,25-34 years,9,274300,3.28,2156624900.0,796,Boomers,2,1,2.1566249,Rest of the World
Albania,1987,female,75+ years,1,35600,2.81,2156624900.0,796,G.I. Generation,5,0,2.1566249,Rest of the World
Albania,1987,female,35-54 years,6,278800,2.15,2156624900.0,796,Silent,3,0,2.1566249,Rest of the World
Albania,1987,female,25-34 years,4,257200,1.56,2156624900.0,796,Boomers,2,0,2.1566249,Rest of the World
Albania,1987,male,55-74 years,1,137500,0.73,2156624900.0,796,G.I. Generation,4,1,2.1566249,Rest of the World
Albania,1987,female,5-14 years,0,311000,0.0,2156624900.0,796,Generation X,0,0,2.1566249,Rest of the World
Albania,1987,female,55-74 years,0,144600,0.0,2156624900.0,796,G.I. Generation,4,0,2.1566249,Rest of the World
Albania,1987,male,5-14 years,0,338200,0.0,2156624900.0,796,Generation X,0,1,2.1566249,Rest of the World
Albania,1988,female,75+ years,2,36400,5.49,2126000000.0,769,G.I. Generation,5,0,2.126,Rest of the World
Albania,1988,male,15-24 years,17,319200,5.33,2126000000.0,769,Generation X,1,1,2.126,Rest of the World
Albania,1988,male,75+ years,1,22300,4.48,2126000000.0,769,G.I. Generation,5,1,2.126,Rest of the World
Albania,1988,male,35-54 years,14,314100,4.46,2126000000.0,769,Silent,3,1,2.126,Rest of the World
Albania,1988,male,55-74 years,4,140200,2.85,2126000000.0,769,G.I. Generation,4,1,2.126,Rest of the World
Albania,1988,female,15-24 years,8,295600,2.71,2126000000.0,769,Generation X,1,0,2.126,Rest of the World
Albania,1988,female,55-74 years,3,147500,2.03,2126000000.0,769,G.I. Generation,4,0,2.126,Rest of the World
Albania,1988,female,25-34 years,5,262400,1.91,2126000000.0,769,Boomers,2,0,2.126,Rest of the World
Albania,1988,male,25-34 years,5,279900,1.79,2126000000.0,769,Boomers,2,1,2.126,Rest of the World
Albania,1988,female,35-54 years,4,284500,1.41,2126000000.0,769,Silent,3,0,2.126,Rest of the World
Albania,1988,female,5-14 years,0,317200,0.0,2126000000.0,769,Generation X,0,0,2.126,Rest of the World
Albania,1988,male,5-14 years,0,345000,0.0,2126000000.0,769,Generation X,0,1,2.126,Rest of the World
Albania,1989,male,75+ years,2,22500,8.89,2335124988.0,833,G.I. Generation,5,1,2.335124988,Rest of the World
Albania,1989,male,25-34 years,18,283600,6.35,2335124988.0,833,Boomers,2,1,2.335124988,Rest of the World
Albania,1989,male,35-54 years,15,318400,4.71,2335124988.0,833,Silent,3,1,2.335124988,Rest of the World
Albania,1989,male,55-74 years,6,142100,4.22,2335124988.0,833,G.I. Generation,4,1,2.335124988,Rest of the World
Albania,1989,male,15-24 years,12,323500,3.71,2335124988.0,833,Generation X,1,1,2.335124988,Rest of the World
Albania,1989,female,35-54 years,7,288600,2.43,2335124988.0,833,Silent,3,0,2.335124988,Rest of the World
Albania,1989,female,15-24 years,5,299900,1.67,2335124988.0,833,Generation X,1,0,2.335124988,Rest of the World
Albania,1989,female,25-34 years,2,266300,0.75,2335124988.0,833,Boomers,2,0,2.335124988,Rest of the World
Albania,1989,female,55-74 years,1,149600,0.67,2335124988.0,833,G.I. Generation,4,0,2.335124988,Rest of the World
Albania,1989,female,5-14 years,0,321900,0.0,2335124988.0,833,Generation X,0,0,2.335124988,Rest of the World
Albania,1989,female,75+ years,0,37000,0.0,2335124988.0,833,G.I. Generation,5,0,2.335124988,Rest of the World
Albania,1989,male,5-14 years,0,349700,0.0,2335124988.0,833,Generation X,0,1,2.335124988,Rest of the World
Albania,1992,male,35-54 years,12,343800,3.49,709452584.0,251,Boomers,3,1,0.709452584,Rest of the World
Albania,1992,male,15-24 years,9,263700,3.41,709452584.0,251,Generation X,1,1,0.709452584,Rest of the World
Albania,1992,male,55-74 years,5,159500,3.13,709452584.0,251,Silent,4,1,0.709452584,Rest of the World
Albania,1992,male,25-34 years,7,245500,2.85,709452584.0,251,Boomers,2,1,0.709452584,Rest of the World
Albania,1992,female,15-24 years,7,292400,2.39,709452584.0,251,Generation X,1,0,0.709452584,Rest of the World
Albania,1992,female,25-34 years,4,267400,1.5,709452584.0,251,Boomers,2,0,0.709452584,Rest of the World
Albania,1992,female,35-54 years,2,323100,0.62,709452584.0,251,Boomers,3,0,0.709452584,Rest of the World
Albania,1992,female,55-74 years,1,164900,0.61,709452584.0,251,Silent,4,0,0.709452584,Rest of the World
Albania,1992,female,5-14 years,0,336700,0.0,709452584.0,251,Millennials,0,0,0.709452584,Rest of the World
Albania,1992,female,75+ years,0,38700,0.0,709452584.0,251,G.I. Generation,5,0,0.709452584,Rest of the World
Albania,1992,male,5-14 years,0,362900,0.0,709452584.0,251,Millennials,0,1,0.709452584,Rest of the World
Albania,1992,male,75+ years,0,23900,0.0,709452584.0,251,G.I. Generation,5,1,0.709452584,Rest of the World
Albania,1993,male,15-24 years,18,243300,7.4,1228071038.0,437,Generation X,1,1,1.228071038,Rest of the World
Albania,1993,male,55-74 years,7,165000,4.24,1228071038.0,437,Silent,4,1,1.228071038,Rest of the World
Albania,1993,male,75+ years,1,24200,4.13,1228071038.0,437,G.I. Generation,5,1,1.228071038,Rest of the World
Albania,1993,male,25-34 years,9,230100,3.91,1228071038.0,437,Boomers,2,1,1.228071038,Rest of the World
Albania,1993,female,15-24 years,10,285300,3.51,1228071038.0,437,Generation X,1,0,1.228071038,Rest of the World
Albania,1993,male,35-54 years,10,350300,2.85,1228071038.0,437,Boomers,3,1,1.228071038,Rest of the World
Albania,1993,female,25-34 years,7,261800,2.67,1228071038.0,437,Boomers,2,0,1.228071038,Rest of the World
Albania,1993,female,35-54 years,7,331200,2.11,1228071038.0,437,Boomers,3,0,1.228071038,Rest of the World
Albania,1993,female,55-74 years,2,169500,1.18,1228071038.0,437,Silent,4,0,1.228071038,Rest of the World
Albania,1993,female,5-14 years,1,340300,0.29,1228071038.0,437,Millennials,0,0,1.228071038,Rest of the World
Albania,1993,male,5-14 years,1,367000,0.27,1228071038.0,437,Millennials,0,1,1.228071038,Rest of the World
Albania,1993,female,75+ years,0,39300,0.0,1228071038.0,437,G.I. Generation,5,0,1.228071038,Rest of the World
Albania,1994,male,75+ years,2,24600,8.13,1985673798.0,697,G.I. Generation,5,1,1.985673798,Rest of the World
Albania,1994,male,55-74 years,11,171400,6.42,1985673798.0,697,Silent,4,1,1.985673798,Rest of the World
Albania,1994,female,75+ years,2,39900,5.01,1985673798.0,697,G.I. Generation,5,0,1.985673798,Rest of the World
Albania,1994,male,25-34 years,6,231400,2.59,1985673798.0,697,Boomers,2,1,1.985673798,Rest of the World
Albania,1994,male,35-54 years,9,362800,2.48,1985673798.0,697,Boomers,3,1,1.985673798,Rest of the World
Albania,1994,male,15-24 years,6,242200,2.48,1985673798.0,697,Generation X,1,1,1.985673798,Rest of the World
Albania,1994,female,15-24 years,6,282600,2.12,1985673798.0,697,Generation X,1,0,1.985673798,Rest of the World
Albania,1994,female,25-34 years,4,261100,1.53,1985673798.0,697,Boomers,2,0,1.985673798,Rest of the World
